id,original_sum,converted_sum,initial_currency,target_currency,date
196,100,90.75,USD,EUR,2019-11-11 07:29:21
197,1,1.1,EUR,CHF,2019-11-11 07:30:29
198,10,10.03,CHF,USD,2019-11-11 07:33:12
199,10,11.02,EUR,USD,2019-11-11 07:35:06
200,120,119.62,USD,CHF,2019-11-11 07:37:23
201,737,809.55,EUR,CHF,2019-11-11 07:37:51
203,12,10.89,USD,EUR,2019-11-11 07:51:30
204,751,681.55,USD,EUR,2019-11-11 07:52:10
205,1331,1326.83,USD,CHF,2019-11-11 07:53:51
206,666,604.41,USD,EUR,2019-11-11 07:54:20
207,1996,1989.75,USD,CHF,2019-11-11 07:55:01
208,1999,1819.85,CHF,EUR,2019-11-11 07:57:43
209,911,826.76,USD,EUR,2019-11-11 07:59:57
210,1978,1800.73,CHF,EUR,2019-11-11 08:01:09
211,67,66.79,USD,CHF,2019-11-11 08:01:49
212,806,731.47,USD,EUR,2019-11-11 08:06:42
218,1320,1315.87,USD,CHF,2019-11-11 08:11:39
219,12,10.89,USD,EUR,2019-11-11 08:14:40
220,1209,1097.2,USD,EUR,2019-11-11 08:19:01
221,130,117.98,USD,EUR,2019-11-11 08:19:33
222,1431,1571.87,EUR,CHF,2019-11-11 08:31:31
223,1431,1571.87,EUR,CHF,2019-11-11 08:32:20
224,44344,40243.42,USD,EUR,2019-11-11 08:33:02
225,1,0.91,USD,EUR,2019-11-11 10:14:53
226,12345,13560.3,EUR,CHF,2019-11-11 10:16:09
227,100,109.84,EUR,CHF,2019-11-11 10:16:50
228,120.5,109.36,USD,EUR,2019-11-11 10:23:30
229,1234,1119.89,USD,EUR,2019-11-11 11:06:49
230,1234,1119.89,USD,EUR,2019-11-11 11:07:23
231,1324,1201.57,USD,EUR,2019-11-11 11:08:09
232,13,11.8,USD,EUR,2019-11-11 11:35:30
233,120.5,109.36,USD,EUR,2019-11-11 11:41:51
234,1333,1464.23,EUR,CHF,2019-11-11 11:45:05
235,917,1010.44,EUR,USD,2019-11-11 11:59:12
236,1500,1655.57,EUR,USD,2019-11-11 12:35:36
237,17,15.49,CHF,EUR,2019-11-11 13:18:08
238,1.1,1.0,USD,EUR,2019-11-11 13:19:08
239,120,120.69,CHF,USD,2019-11-11 13:21:09
241,1,0.69,CAD,EUR,2019-11-11 13:27:53
242,131.5,119.14,USD,EUR,2019-11-11 13:31:34
243,1231,1115.33,USD,EUR,2019-11-11 13:32:35
246,12,13.17,EUR,CHF,2019-11-11 13:52:36
247,1020,924.16,USD,EUR,2019-11-11 14:02:12
248,1020,924.16,USD,EUR,2019-11-11 14:03:55
249,1020,924.16,USD,EUR,2019-11-11 14:04:03
250,1020,924.16,USD,EUR,2019-11-11 14:05:33
253,1001,906.94,USD,EUR,2019-11-11 14:15:57
254,1234,1226.92,USD,CHF,2019-11-11 17:48:14
255,704,637.85,USD,EUR,2019-11-11 19:04:30
256,728,659.59,USD,EUR,2019-11-11 19:28:21
257,2345678,2125266.37,USD,EUR,2019-11-11 19:32:18
258,100,90.6,USD,EUR,2019-11-12 04:45:53
259,2102,1904.49,USD,EUR,2019-11-12 06:38:04
260,1200120,1087350.72,USD,EUR,2019-11-12 06:52:22
261,413,374.19,USD,EUR,2019-11-12 06:58:55
262,413,374.19,USD,EUR,2019-11-12 06:59:55
263,234,232.66,USD,CHF,2019-11-12 07:01:43
264,2,1.81,USD,EUR,2019-11-12 07:02:54
265,1,1.1,EUR,USD,2019-11-12 07:08:02
266,1,1.1,EUR,USD,2019-11-12 07:09:31
267,1,1.01,CHF,USD,2019-11-12 07:13:09
268,1,1.01,CHF,USD,2019-11-12 07:13:36
269,12,10.87,USD,EUR,2019-11-12 07:26:19
